Restaurant Name,Types of Food,Rating1,Ratings2,Price,Discount
Amantran Bengali Restaurant,"Bengali, North Indian, Chinese, Home Food, Thalis, Beverages",,3.9,₹200 FOR TWO,FLAT125 off | Use FLATDEAL
Cream Stone Ice Cream,"Ice Cream, Desserts, Beverages, Ice Cream Cakes",4.3,,₹250 FOR TWO,30% off | Use SPECIALS
Pista House,"Bakery, Pizzas, Haleem",4.2,,₹200 FOR TWO,40% off | Use TRYNEW
Hotel City Diamond,"Biryani, Hyderabadi",4.1,,₹300 FOR TWO,
McDonald's,"Burgers, Beverages, Cafe, Desserts",4.1,,₹400 FOR TWO,30% off | Use TRYNEW
Cafe Niloufer Classic,"Bakery, Beverages, Snacks, Desserts",4.4,,₹150 FOR TWO,10% off | Use PARTY
Amfah Hotel,"Biryani, North Indian, Chinese",,3.9,₹200 FOR TWO,30% off | Use TRYNEW
Mr. Pulao,"Andhra, South Indian, Biryani",,3.5,₹200 FOR TWO,30% off | Use TRYNEW
Sri Sai Raghavendra Udupi Veg,"South Indian, Juices, Ice Cream",4.2,,₹100 FOR TWO,40% off | Use TRYNEW
Zee N Cafe,"Italian-American, Fast Food, Snacks",,,₹300 FOR TWO,
Rolls & Bowls By FEEDX,"North Indian, Snacks, Salads, Beverages, Indian, Pastas",,3.6,₹200 FOR TWO,
FISH OH FISH,"Biryani, Tandoor, Mughlai",,3.8,₹400 FOR TWO,
SRI VAIBHAV TIFFINS,South Indian,4.3,,₹200 FOR TWO,
Naintara ( By Sri Narsingh Bhelpuri ),"North Indian, Italian-American, Fast Food, Snacks",4.2,,₹300 FOR TWO,20% off | Use TRYNEW
Madhur Sweets,"Sweets, Desserts, Snacks",4.5,,₹250 FOR TWO,10% off | Use TRYNEW
Starboy Pizza & Shakes,"Pizzas, Italian, Desserts, Beverages",,3.8,₹300 FOR TWO,Flat ₹125 off on orders above ₹249
Harekrishna Santoshi Dhaba,"Indian, Chinese",,,₹200 FOR TWO,
Bake Delight,"Bakery, Chinese",,3.7,₹200 FOR TWO,50% off | Use JUMBO
Royal Tiffin Centre,South Indian,,3.8,₹150 FOR TWO,30% off | Use TRYNEW
Pure Veg Meals by Lunchbox,"North Indian, Desserts, Biryani",4.1,,₹200 FOR TWO,50% off | Use TRYNEW
Meghacity,"South Indian, Biryani, North Indian, Chinese, Seafood, Beverages",4.4,,₹500 FOR TWO,
Sweet Truth - Cake and Desserts,"Bakery, Desserts",,3.9,₹450 FOR TWO,
LunchBox - Meals and Thalis,"North Indian, Punjabi, Biryani, Healthy Food, Jain, Thalis, Indian, Mughlai, Des...",4.0,,₹200 FOR TWO,FLAT125 off | Use FLATDEAL
Sri Vigneshwara Curry Point,Indian,,,₹350 FOR TWO,FLAT250 off | Use FLATDEAL
Mumbai Kulfi & Ice Cream,"Ice Cream, Desserts",,,₹100 FOR TWO,30% off | Use TRYNEW
SECRET KITCHEN,"Biryani, Chinese, Indian",4.1,,₹400 FOR TWO,
Sri Raghavendra Tiffins,"South Indian, Andhra",4.3,,₹150 FOR TWO,20% off | Use TRYNEW
Veggie Chinese,Chinese,4.1,,₹300 FOR TWO,
Minerva Coffee Shop,"South Indian, North Indian, Chinese",4.3,,₹500 FOR TWO,20% off | Use TRYNEW
Hotel Mukrram,Biryani,4.1,,₹300 FOR TWO,
Baker Street,"Bakery, Continental",4.2,,₹250 FOR TWO,
Swagath Hotel,"South Indian, Chinese, Indian",4.1,,₹400 FOR TWO,
Hotel Sitara Grand - Dhanturi Group of hotels,"Biryani, Chinese, South Indian, North Indian, Tandoor",,3.8,₹300 FOR TWO,40% off | Use TRYNEW
The Belgian Waffle Co.,"Waffle, Desserts, Ice Cream, Beverages",4.3,,₹200 FOR TWO,20% off | Use TRYNEW
Indira Darshini,"Chinese, South Indian, Hyderabadi",4.1,,₹200 FOR TWO,FLAT100 off | Use FLATDEAL
Hotel Sri Raghavendra Udupi Veg,"South Indian, Chinese, North Indian, Tandoor",4.1,,₹300 FOR TWO,40% off | Use TRYNEW
Istah - The Mediterranean Way,"Arabian, Biryani, Mediterranean, Lebanese, Snacks, Beverages",4.2,,₹250 FOR TWO,60% off | Use TRYNEW
ANNAPURNA MESS,"Indian, Biryani, Chinese",,3.9,₹200 FOR TWO,
Balaji Santosh Dhaba,"North Indian, Chinese",4.0,,₹350 FOR TWO,50% off | Use TRYNEW
Bombay Juice,"Chaat, Chinese, Juices",4.3,,₹200 FOR TWO,
Balaji Family Dhaba & Caterers,"North Indian, Chinese",,3.8,₹450 FOR TWO,50% off | Use TRYNEW
Karachi Bakery,"Bakery, Desserts",4.3,,₹300 FOR TWO,
Shree Golden Palace Restaurant,"Indian, Chinese, Biryani",,3.9,₹250 FOR TWO,FLAT100 off | Use FLATDEAL
Geethagari vantalu,Andhra,,3.9,₹200 FOR TWO,10% off | Use PARTY
Meghacity,"South Indian, Biryani, North Indian, Chinese, Seafood, Beverages",4.4,,₹500 FOR TWO,
Biryani By Kilo,"Biryani, Hyderabadi, North Indian, Kebabs, Mughlai, Desserts",,3.6,₹300 FOR TWO,50% off | Use TRYNEW
Sri Raghavendra Curry Express,"South Indian, Andhra",4.4,,₹200 FOR TWO,10% off | Use PARTY
Bakingo,Bakery,4.3,,₹300 FOR TWO,
Siddi Fast Food,"Chinese, Pastas, North Indian, South Indian",,3.9,₹150 FOR TWO,10% off | Use TRYNEW
Lakshman Ki Bandi,South Indian,4.1,,₹150 FOR TWO,20% off | Use TRYNEW
Dadu's,"Sweets, Desserts, Chaat, Snacks, Bakery",4.4,,₹350 FOR TWO,20% off | Use TRYNEW
Sri Balaji Family Dhaba - Ramkote,"Biryani, North Indian, Chinese, Indian, Punjabi",4.0,,₹200 FOR TWO,40% off | Use GUILTFREE
Bheemas Grand,South Indian,4.0,,₹150 FOR TWO,50% off | Use TRYNEW
Onesta,"Italian, Desserts, Pizzas, American, Snacks",,3.7,₹200 FOR TWO,FLAT150 off | Use FLATDEAL
Dwaraka Restaurant,"North Indian, Chinese, South Indian",4.3,,₹250 FOR TWO,20% off | Use TRYNEW
New Astoria Restaurant,"Chinese, Biryani",,3.9,₹450 FOR TWO,
The Southern Palate,"South Indian, Biryani",,3.9,₹350 FOR TWO,40% off | Use TRYNEW
Nandu Fresh Fruit Juice Centre,Beverages,,3.8,₹250 FOR TWO,FLAT100 off | Use FLATDEAL
Al Akbar Fast Food,"Chinese, North Indian",4.0,,₹200 FOR TWO,20% off | Use TRYNEW
Haldiram's Restaurant,"Indian, Biryani, Snacks, Beverages",4.2,,₹300 FOR TWO,50% off | Use TRYNEW
The Bowl Company,"Pan-Asian, Continental, North Indian, Desserts, American, Asian, Beverages, Biry...",4.1,,₹300 FOR TWO,60% off | Use TRYNEW
Kwality Walls Frozen Dessert and Ice Cream Shop,"Desserts, Ice Cream, Ice Cream Cakes",4.4,,₹200 FOR TWO,
Hotel Sohail Waves,"Arabian, Tandoor, Mughlai, Biryani, North Indian",4.1,,₹500 FOR TWO,10% off | Use PARTY
Agra Sweets Banjara,"Sweets, Desserts, Chaat, Snacks, Beverages",4.3,,₹250 FOR TWO,30% off | Use TRYNEW
Taj Mahal-Abids,"North Indian, Chinese, South Indian",4.3,,₹300 FOR TWO,30% off | Use TRYNEW
Homely,"Home Food, North Indian, South Indian, Beverages, Desserts, Thalis",4.3,,₹200 FOR TWO,60% off | Use TRYNEW
Matwale Doodh Ghar,"Beverages, Juices, Desserts, Ice Cream",4.1,,₹150 FOR TWO,
Habeeb's Fast Food,"Fast Food, Chinese, Mughlai",4.1,,₹300 FOR TWO,
SRI MAHALAXMI REDDY BROTHERS TIFFIN CENTER,"South Indian, Chinese",4.4,,₹200 FOR TWO,
