Restaurant Name,Types of Food,Price,Discount,Rating,Discount_Percentage,Coupon_Code
Utsav Vegetarian,"North Indian, Chinese, Biryani, Indian",300.0,FLAT125 off | Use FLATDEAL,4.2,20.0,FLATDEAL
Akson Restaurant,"North Indian, Biryani, Kerala",250.0,,4.2,20.0,
Santosh Family Dhaba,"North Indian, Biryani, Chinese, Tandoor, Indian",300.0,50% off | Use TRYNEW,3.9,20.0,TRYNEW
Shree Santosh Family Dhaba,"North Indian, Chinese, Tandoor, Biryani, Beverages, Indian",200.0,50% off | Use TRYNEW,3.9,20.0,TRYNEW
Pista House Restaurant,"Biryani, Tandoor, North Indian",500.0,30% off | Use TRYNEW,4.1,20.0,TRYNEW
Hotel Swagath,South Indian,200.0,30% off | Use TRYNEW,4.2,20.0,TRYNEW
Just parantha,North Indian,200.0,FLAT125 off | Use FLATDEAL,4.3,20.0,FLATDEAL
Sahara Bakers,"Bakery, Pizzas",200.0,50% off | Use TRYNEW,3.4,20.0,TRYNEW
Kamat Hotel,"North Indian, South Indian",500.0,20% off | Use TRYNEW,4.3,20.0,TRYNEW
Amantran Bengali Restaurant,"Bengali, North Indian, Chinese, Home Food, Thalis, Beverages",200.0,FLAT125 off | Use FLATDEAL,3.9,20.0,FLATDEAL
Cream Stone Ice Cream,"Ice Cream, Desserts, Beverages, Ice Cream Cakes",250.0,30% off | Use SPECIALS,4.3,20.0,SPECIALS
Pista House,"Bakery, Pizzas, Haleem",200.0,40% off | Use TRYNEW,4.2,20.0,TRYNEW
Hotel City Diamond,"Biryani, Hyderabadi",300.0,,4.1,20.0,
McDonald's,"Burgers, Beverages, Cafe, Desserts",400.0,30% off | Use TRYNEW,4.1,20.0,TRYNEW
Cafe Niloufer Classic,"Bakery, Beverages, Snacks, Desserts",150.0,10% off | Use PARTY,4.4,20.0,PARTY
Amfah Hotel,"Biryani, North Indian, Chinese",200.0,30% off | Use TRYNEW,3.9,20.0,TRYNEW
Mr. Pulao,"Andhra, South Indian, Biryani",200.0,30% off | Use TRYNEW,3.5,20.0,TRYNEW
Sri Sai Raghavendra Udupi Veg,"South Indian, Juices, Ice Cream",100.0,40% off | Use TRYNEW,4.2,20.0,TRYNEW
Zee N Cafe,"Italian-American, Fast Food, Snacks",300.0,,0.0,20.0,
Rolls & Bowls By FEEDX,"North Indian, Snacks, Salads, Beverages, Indian, Pastas",200.0,,3.6,20.0,
FISH OH FISH,"Biryani, Tandoor, Mughlai",400.0,,3.8,20.0,
SRI VAIBHAV TIFFINS,South Indian,200.0,,4.3,20.0,
Naintara ( By Sri Narsingh Bhelpuri ),"North Indian, Italian-American, Fast Food, Snacks",300.0,20% off | Use TRYNEW,4.2,20.0,TRYNEW
Madhur Sweets,"Sweets, Desserts, Snacks",250.0,10% off | Use TRYNEW,4.5,20.0,TRYNEW
Starboy Pizza & Shakes,"Pizzas, Italian, Desserts, Beverages",300.0,Flat ₹125 off on orders above ₹249,3.8,20.0,
